Listing Name,category,"image, location",description,address,phone,website,reviewnumber,reviewscore
10111 Plumbers,"in Home Interior and Decor, Renovating and Building Services",http://www.sahomesguide.co.za/custom/image_files/photo_13260.gif,Have an emergency? need a plumber? well call 10111 Plumbers now! ,"Servicing Jeffreys Bay, Port Elizabeth, Uitenhage 
		
					Despatch, Humansdorp, St Francis Bay, Plettenberg",074 709 7580,See 10111 Plumbers Website,(0 reviews),0
3 Peaks Plumbing,"in Home Interior and Decor, Renovating and Building Services",http://www.sahomesguide.co.za/custom/image_files/photo_13262.gif,"All plumbing requirements, including maintenance and installations.",Services throughout Cape Town,084 5831779,See 3 Peaks Plumbing Website,(0 reviews),0
3D Wall,"in Renovating and Building Services, Home Interior and Decor",http://www.sahomesguide.co.za/custom/image_files/photo_16732.gif,Make your home or business stand out from the crowd with high impact interior feature walls.,Services throughout Western Cape,021 556 1490,http://www.wallart3d.co.za/,(0 reviews),0
AAA Plumbing,"in Home Interior and Decor, Renovating and Building Services",http://www.sahomesguide.co.za/custom/image_files/photo_13076.gif,"For a friendly efficient service, ask us.",Services throughout Gauteng,082 557 1471 / 082 575 4733,See AAB Plumbing &Electrical Website,(0 reviews),0
AAB Plumbing & Electrical ,"in Home Interior and Decor, Renovating and Building Services",http://www.sahomesguide.co.za/custom/image_files/photo_13038.gif,Got any problems with your water or your electricity well we are just a phone call away.,"Milnerton, Table View Area",011 0223962,See Able Plumbers Website,(0 reviews),0
Able Plumbers ,"in Home Interior and Decor, Renovating and Building Services",http://www.sahomesguide.co.za/custom/image_files/photo_13072.jpg,"When you are faced with a plumbing issue in your home or business, you not only want a plumber fast, you want an able plumber contractor.","7 Boekenhout Mews
		
					Boekenhout Drive, Milkwood Park,
		
					Noordhoek, Southern Peninsula 7975",083 226 7417,View Action Awnings website,(0 reviews),0
Action Awnings,"in Renovating and Building Services, Homemakers Shopping",http://www.sahomesguide.co.za/custom/image_files/photo_18658.jpg,"Regarded as a reliable and trusted awning contractor in Cape Town, Frik and Kyle van Eeden from Action Awnings have been fondly dubbed as the go to guys in the local neighborhood.",Services throughout Gauteng,083 309 2597,See Ad-Hoc Plumbers,(0 reviews),0
Ad-Hoc Plumbers,"in Home Interior and Decor, Renovating and Building Services",http://www.sahomesguide.co.za/custom/image_files/photo_13026.gif,We have established ourselves as one of the leading plumbers in the Gauteng area by exceedingly achieving our goals. ,"49 Edward Street
		
		
					Kraaifontein, Northern Suburbs 7570",012 331 5440 / 0861 88 6644 ,http://www.advanced-elecfence.co.za/,(0 reviews),0
ADVANCED Electric Fencing,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_15758.gif,ADVANCED ELECTRIC FENCING is here to fill the need to combat crime mainly in residential areas and also in the Industrial sector.,"37 Estcourt Drive, Wierda Park, Centurion, Gauteng
		
		
					Centurion, Greater Pretoria",021 987 6988 or 083 698 8511,View AIF Design Website,(0 reviews),0
AIF Design,"in Renovating and Building Services, Home Interior and Decor",http://www.sahomesguide.co.za/custom/image_files/photo_13515.gif,"You have a vision of what you want. Now you need to make that vision a reality. AIF Design Architects are specially equipped to help you define what you want to build, present options you might never have considered, and help optimize your investment","5 Lone Creek Place
		
		
					Faerie Glen, Greater Pretoria 0044",082 449 8904,http://alfaservices.co.za/,(0 reviews),0
